symbol,name,close,ma250,deviation,change_pct,K,D,J,vol_trend,signal_score,industry
603610,麒盛科技,15.8,15.65,0.98,0.0,7.97,11.93,0.06,平量,90,轻工制造
600585,海螺水泥,23.04,23.31,-1.16,0.48,14.69,17.57,8.92,平量,54,建筑材料
603201,常润股份,16.24,16.52,-1.68,0.12,15.8,26.02,-4.65,放量,101,其他汽车零部件
603199,九华旅游,39.42,37.55,4.99,0.64,29.66,42.48,4.04,平量,35,社会服务
200625,长  安Ｂ,4.03,4.0,0.75,0.0,23.6,30.47,9.86,平量,55,乘用车
300893,松原安全,20.8,21.01,-1.01,-0.43,13.51,16.71,7.11,平量,63,汽车零部件
301382,蜂助手,33.37,33.85,-1.41,0.97,22.55,31.0,5.64,缩量,64,通信
600603,广汇物流,7.33,7.54,-2.73,0.0,26.17,32.81,12.89,平量,23,物流
001268,联合精密,29.54,29.84,-0.99,0.85,23.55,29.71,11.21,平量,47,家用电器
601919,中远海控,15.17,14.55,4.27,-0.59,16.51,27.53,-5.54,平量,79,航运
601789,宁波建工,5.7,5.44,4.85,-0.18,18.9,23.43,9.83,缩量,14,建筑装饰
601288,农业银行,6.48,6.53,-0.72,-0.46,26.61,36.59,6.65,平量,67,国有大型银行Ⅲ
000723,美锦能源,4.96,4.74,4.55,-0.4,18.95,24.25,8.36,缩量,22,煤炭
601963,重庆银行,10.28,10.32,-0.41,-1.91,16.83,28.14,-5.8,平量,118,城商行Ⅲ
